Event	ID	Name			Wwise Object Path	Notes
	481652823	mus_system_start			\ev_music\playback_functions\mus_system_start	Posted to the Music Manager persistent Wwise game object on entering the Asap scope, i.e. as soon as one starts the game
	627119789	playerAction_02_hi			\ev_logic\playerAction_02_hi	
	712530859	stage_change_loadscreen			\ev_logic\flow\stage_change_loadscreen	
	905463613	mus_system_stop			\ev_music\playback_functions\mus_system_stop	Posted to the Music Manager persistent Wwise game object on leaving the Asap scope, i.e. on quitting the game
	988148090	cursor_on_panel			\ev_logic\panel_flow\cursor_on_panel	Should also be posted to 
	1005557173	MasterAmbientSystem_Stop			\ev_amb\MasterAmbientSystem_Stop	Posted to the Ambient Manager persistent Wwise game object on leaving the InGame scope, i.e. when returning to main menu
	1139193997	quit_to_desktop			\ev_logic\quit_to_desktop	
	1262474572	scope_menu_enter			\ev_logic\flow\scope_menu_enter	posted to the UI Manager persistent Wwise game object on entering the Menu scope, i.e. when first entering main menu
	1848497817	MasterAmbientSystem_Start_viascopes			\ev_amb\MasterAmbientSystem_Start_viascopes	Posted to the Ambient Manager persiosntent Wwise game object on entering the InGame scope
	2388945449	panel_focus_zero			\ev_logic\panel_flow\panel_focus_zero	
	2400172433	stage_change_game			\ev_logic\flow\stage_change_game	
	2739109761	stage_change_mainmenu			\ev_logic\flow\stage_change_mainmenu	
	2817961853	mus_set_pieceType_setPiece			\ev_music\logic\mus_set_pieceType_setPiece	
	3370842300	playerAction_04_low			\ev_logic\playerAction_04_low	
	3499263738	playerAction_05_very_low			\ev_logic\playerAction_05_very_low	
	3545445578	kill_panel			\ev_logic\panel_flow\kill_panel	For when we remove a panel with illustration via code, determines the "fade out behaviour" for that soundscape
	3561993834	mus_player_next_all			\ev_music\transport_controls\mus_player_next_all	
	3811421686	cursor_off_panel			\ev_logic\panel_flow\cursor_off_panel	
	3981680751	playerAction_03_mid			\ev_logic\playerAction_03_mid	
