Event	ID	Name			Wwise Object Path	Notes
	167283764	mus_player_resume			\ev_music\transport_controls\mus_player_resume	
	481652823	mus_system_start			\ev_music\playback_functions\mus_system_start	Posted to the Music Manager persistent Wwise game object on entering the Asap scope, i.e. as soon as one starts the game
	670611050	neutral			\ev_music\triggers\neutral	
	884061005	mus_player_pause			\ev_music\transport_controls\mus_player_pause	
	905463613	mus_system_stop			\ev_music\playback_functions\mus_system_stop	Posted to the Music Manager persistent Wwise game object on leaving the Asap scope, i.e. on quitting the game
	1192865152	positive			\ev_music\triggers\positive	
	1572497642	LOADINGSCREENGLOBAL			\ev_illustrations\loading_screens\LOADINGSCREENGLOBAL	
	1686212572	mus_harmonic_mode_minor			\ev_music\mus_harmonic_set\mus_harmonic_mode_minor	
	2217137686	mus_set_pieceType_mood			\ev_music\logic\mus_set_pieceType_mood	
	2640003009	mus_trackTracker_26			\ev_music\track numbering\mus_trackTracker_26	
	2640003010	mus_trackTracker_25			\ev_music\track numbering\mus_trackTracker_25	
	2640003011	mus_trackTracker_24			\ev_music\track numbering\mus_trackTracker_24	
	2640003012	mus_trackTracker_23			\ev_music\track numbering\mus_trackTracker_23	
	2640003013	mus_trackTracker_22			\ev_music\track numbering\mus_trackTracker_22	
	2640003014	mus_trackTracker_21			\ev_music\track numbering\mus_trackTracker_21	
	2640003015	mus_trackTracker_20			\ev_music\track numbering\mus_trackTracker_20	
	2656780722	mus_trackTracker_18			\ev_music\track numbering\mus_trackTracker_18	
	2656780723	mus_trackTracker_19			\ev_music\track numbering\mus_trackTracker_19	
	2656780728	mus_trackTracker_12			\ev_music\track numbering\mus_trackTracker_12	
	2656780729	mus_trackTracker_13			\ev_music\track numbering\mus_trackTracker_13	
	2656780730	mus_trackTracker_10			\ev_music\track numbering\mus_trackTracker_10	
	2656780731	mus_trackTracker_11			\ev_music\track numbering\mus_trackTracker_11	
	2656780732	mus_trackTracker_16			\ev_music\track numbering\mus_trackTracker_16	
	2656780733	mus_trackTracker_17			\ev_music\track numbering\mus_trackTracker_17	
	2656780734	mus_trackTracker_14			\ev_music\track numbering\mus_trackTracker_14	
	2656780735	mus_trackTracker_15			\ev_music\track numbering\mus_trackTracker_15	
	2673558308	mus_trackTracker_09			\ev_music\track numbering\mus_trackTracker_09	
	2673558309	mus_trackTracker_08			\ev_music\track numbering\mus_trackTracker_08	
	2673558312	mus_trackTracker_05			\ev_music\track numbering\mus_trackTracker_05	
	2673558313	mus_trackTracker_04			\ev_music\track numbering\mus_trackTracker_04	
	2673558314	mus_trackTracker_07			\ev_music\track numbering\mus_trackTracker_07	
	2673558315	mus_trackTracker_06			\ev_music\track numbering\mus_trackTracker_06	
	2673558316	mus_trackTracker_01			\ev_music\track numbering\mus_trackTracker_01	
	2673558318	mus_trackTracker_03			\ev_music\track numbering\mus_trackTracker_03	
	2673558319	mus_trackTracker_02			\ev_music\track numbering\mus_trackTracker_02	
	2817961853	mus_set_pieceType_setPiece			\ev_music\logic\mus_set_pieceType_setPiece	
	2914042424	mus_harmonic_mode_major			\ev_music\mus_harmonic_set\mus_harmonic_mode_major	
	2965036046	mus_temp_setStateIngame			\ev_music\logic\mus_temp_setStateIngame	
