In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3261785	UI_map_country_select_dirt_07	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_map_country_select_dirt\UI_map_country_select_dirt_07_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\cursor\map_interactions\map_select\UI_map_country_select\UI_map_country_select_dirt\UI_map_country_select_dirt_07		10743
	3788305	UI_clickRelease_02	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_clickRelease\UI_clickRelease_02_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\cursor\UI_clickRelease\UI_clickRelease_02		1525
	5308910	UI_action_appoint_admiral-04	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_action_appoint_admiral\UI_action_appoint_admiral-04_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\actions\UI_action_appoint_admiral\UI_action_appoint_admiral-04		9222
	7041489	construction_rgo_generic_04	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\amb\construction_rgo_generic\construction_rgo_generic_04_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\notifications\construction\construction_rgo_generic\construction_rgo_generic_04		1008
	8087567	UI_action_character_mission_generic_finished_main-05	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_action_character_mission_generic_finished_main\UI_action_character_mission_generic_finished_main-05_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\actions\UI_action_character_mission_generic_finished_main\UI_action_character_mission_generic_finished_main-05		6502
	9215977	UI_action_religion_aspect_remove-04	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_action_religion_aspect_remove\UI_action_religion_aspect_remove-04_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\actions\UI_action_religion_aspect_remove\UI_action_religion_aspect_remove-04		10788
	10284572	UI_panel_economy_03	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_panel_economy\UI_panel_economy_03_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\panels\UI_panel_economy\UI_panel_economy_03		6032
	12372705	UI_pen_scribble_07	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_pen_scribble\UI_pen_scribble_07_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\cursor\confirm_hold\UI_pen_scribble\UI_pen_scribble_07		3515
	13188523	UI_tooltip_show_01	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_tooltip_show\UI_tooltip_show_01_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\navigation\UI_tooltip_show\UI_tooltip_show_01		2215
	13576575	UI_action_character_mission_generic_finished_main-03	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_action_character_mission_generic_finished_main\UI_action_character_mission_generic_finished_main-03_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\actions\UI_action_character_mission_generic_finished_main\UI_action_character_mission_generic_finished_main-03		7467
	13644527	amb_wind_onear_mid_lp_04	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\amb\amb_wind_onear_mid_lp\amb_wind_onear_mid_lp_04_A2AC1C34.wem		\Actor-Mixer Hierarchy\wu_actor_ambience\Ambience\CameraWind\GoTo\StereoizSequence\amb_wind_onear_mid_lp\amb_wind_onear_mid_lp_04		9964
	14628029	UI_action_character_mission_generic_start_main-02	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\UI\UI_action_character_mission_generic_start_main\UI_action_character_mission_generic_start_main-02_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_ui\UI\actions\UI_action_character_mission_generic_start_main\UI_action_character_mission_generic_start_main-02		20524
