In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5858	GROUSE_BLACK_calls_10	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\amb\spot\bird\europe\GROUSE_BLACK_calls\GROUSE_BLACK_calls_10_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_sound_library\actor_sound_library\nature_sounds\02_loud\02_loud_birds\02_loud_birds_field\02_loud_birds_europe_field\GROUSE_BLACK_calls\GROUSE_BLACK_calls_10		14857
	20576	LAPWING_NORTHERN_phrase_03	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\amb\spot\bird\europe\LAPWING_NORTHERN_phrase\LAPWING_NORTHERN_phrase_03_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_sound_library\actor_sound_library\nature_sounds\02_loud\02_loud_birds\02_loud_birds_field\02_loud_birds_europe_field\LAPWING_NORTHERN_phrase\LAPWING_NORTHERN_phrase_03		45032
	127386	TIGER_roar_07	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\amb\spot\mammal\TIGER_roar\TIGER_roar_07_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_ambience\Ambience\OnMapObjects\Fauna\mammals\TIGER\TIGER_roar\TIGER_roar_07		71874
	142344	VTB_shocked_fANJO_10	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\VOX-TOOLBOX\ANNA-ANJO\shocked\VTB_shocked_fANJO_10_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_vox_toolbox\Vox-ToolBox SPL\vox_single\vox_02_loud\VTB-f_shocked\ANJO\VTB_shocked_fANJO_10		6538
	270528	VTB_effort-aggressive_mELAN_01	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\VOX-TOOLBOX\ELIAS-ELAN\effort-aggressive\VTB_effort-aggressive_mELAN_01_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_military\OnMapUnits\Vocalisations\VOXEfrt_efforts_aggressive\ELAN\VTB_effort-aggressive_mELAN_01		6221
	294944	Silk_Tie_handling_oneshot_004	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\PASTLIFE-TOOLBOX\Silk_Tie_handling_oneshot\Silk_Tie_handling_oneshot_004_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_sound_library\actor_sound_library\urban_sounds\04_quietest\audio_actors\clothes_movement\Silk_Tie_handling_oneshot\Silk_Tie_handling_oneshot_004		53456
	299504	arti_attack_fire_age6_01	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\Military\Artillery\arti_attack_fire\arti_attack_fire_age6\arti_attack_fire_age6_01_D8F20E6A.wem		\Actor-Mixer Hierarchy\wu_actor_military\OnMapUnits\Artillery\arti_attack_fire\arti_attack_fire_age6\arti_attack_fire_age6_01		22220
	350157	VTB_warcry_mJABL_01	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\VOX-TOOLBOX\JACOB-JABL\warcry\VTB_warcry_mJABL_01_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_vox_toolbox\Vox-ToolBox SPL\vox_single\vox_01_loudest\VTB-m_warcry\JABL\VTB_warcry_mJABL_01		12639
	356935	fs_grp_stone_xlarge_quad_slice_02	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\amb\fs\fs_grp_stone_xlarge_quad_slice\fs_grp_stone_xlarge_quad_slice_02_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_sound_library\actor_sound_library\urban_sounds\00_fs_grp\fs_grp_stone_xlarge_quad_slice\fs_grp_stone_xlarge_quad_slice_02		1415291
	399545	Cloth_mediumButtons_friction_oneshot_001	D:\Repos\Wwise\wwise_caesar\.cache\Windows\SFX\PASTLIFE-TOOLBOX\Cloth_mediumButtons_friction_oneshot\Cloth_mediumButtons_friction_oneshot_001_8214FF25.wem		\Actor-Mixer Hierarchy\wu_actor_sound_library\actor_sound_library\urban_sounds\04_quietest\audio_actors\Cloth_mediumButtons_movement\Cloth_mediumButtons_friction_oneshot\Cloth_mediumButtons_friction_oneshot_001		29362
